Q,A
import java.,awt
import java.awt,.
import java.awt.,image
import java.awt.image,.
import java.awt.image.,BufferedImage
import java.awt.image.BufferedImage,;
import java.awt.image.BufferedImage;,PARAM_END
import java.,io
import java.io,.
import java.io.,IOException
import java.io.IOException,;
import java.io.IOException;,PARAM_END
import java.,util
import java.util,.
import java.util.,concurrent
import java.util.concurrent,.
import java.util.concurrent.,TimeUnit
import java.util.concurrent.TimeUnit,;
import java.util.concurrent.TimeUnit;,PARAM_END
import javax.,annotation
import javax.annotation,.
import javax.annotation.,Resource
import javax.annotation.Resource,;
import javax.annotation.Resource;,PARAM_END
import javax.,imageio
import javax.imageio,.
import javax.imageio.,ImageIO
import javax.imageio.ImageIO,;
import javax.imageio.ImageIO;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,beans
import org.springframework.beans,.
import org.springframework.beans.,factory
import org.springframework.beans.factory,.
import org.springframework.beans.factory.,annotation
import org.springframework.beans.factory.annotation,.
import org.springframework.beans.factory.annotation.,Autowired
import org.springframework.beans.factory.annotation.Autowired,;
import org.springframework.beans.factory.annotation.Autowired;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,beans
import org.springframework.beans,.
import org.springframework.beans.,factory
import org.springframework.beans.factory,.
import org.springframework.beans.factory.,annotation
import org.springframework.beans.factory.annotation,.
import org.springframework.beans.factory.annotation.,Value
import org.springframework.beans.factory.annotation.Value,;
import org.springframework.beans.factory.annotation.Value;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,util
import org.springframework.util,.
import org.springframework.util.,FastByteArrayOutputStream
import org.springframework.util.FastByteArrayOutputStream,;
import org.springframework.util.FastByteArrayOutputStream;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,GetMapping
import org.springframework.web.bind.annotation.GetMapping,;
import org.springframework.web.bind.annotation.GetMapping;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,RestController
import org.springframework.web.bind.annotation.RestController,;
import org.springframework.web.bind.annotation.RestController;,PARAM_END
import com.,google
import com.google,.
import com.google.,code
import com.google.code,.
import com.google.code.,kaptcha
import com.google.code.kaptcha,.
import com.google.code.kaptcha.,Producer
import com.google.code.kaptcha.Producer,;
import com.google.code.kaptcha.Producer;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,constant
import com.sltg.common.constant,.
import com.sltg.common.constant.,Constants
import com.sltg.common.constant.Constants,;
import com.sltg.common.constant.Constants;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,domain
import com.sltg.common.core.domain,.
import com.sltg.common.core.domain.,AjaxResult
import com.sltg.common.core.domain.AjaxResult,;
import com.sltg.common.core.domain.AjaxResult;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,redis
import com.sltg.common.core.redis,.
import com.sltg.common.core.redis.,RedisCache
import com.sltg.common.core.redis.RedisCache,;
import com.sltg.common.core.redis.RedisCache;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,utils
import com.sltg.common.utils,.
import com.sltg.common.utils.,sign
import com.sltg.common.utils.sign,.
import com.sltg.common.utils.sign.,Base64
import com.sltg.common.utils.sign.Base64,;
import com.sltg.common.utils.sign.Base64;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,utils
import com.sltg.common.utils,.
import com.sltg.common.utils.,uuid
import com.sltg.common.utils.uuid,.
import com.sltg.common.utils.uuid.,IdUtils
import com.sltg.common.utils.uuid.IdUtils,;
import com.sltg.common.utils.uuid.IdUtils;,PARAM_END
public ,class
public class, 
public class ,CaptchaController
public class CaptchaController, 
public class CaptchaController ,{
public class CaptchaController {,PARAM_END
@Resource,(
@Resource(,name
@Resource(name, 
@Resource(name ,=
@Resource(name =, 
@Resource(name = ,"captchaProducer"
@Resource(name = "captchaProducer",)
@Resource(name = "captchaProducer"),PARAM_END
private ,Producer
private Producer, 
private Producer ,captchaProducer
private Producer captchaProducer,;
private Producer captchaProducer;,PARAM_END
@Resource,(
@Resource(,name
@Resource(name, 
@Resource(name ,=
@Resource(name =, 
@Resource(name = ,"captchaProducerMath"
@Resource(name = "captchaProducerMath",)
@Resource(name = "captchaProducerMath"),PARAM_END
private ,Producer
private Producer, 
private Producer ,captchaProducerMath
private Producer captchaProducerMath,;
private Producer captchaProducerMath;,PARAM_END
private ,RedisCache
private RedisCache, 
private RedisCache ,redisCache
private RedisCache redisCache,;
private RedisCache redisCache;,PARAM_END
@Value,(
@Value(,"${sltg.captchaType}"
@Value("${sltg.captchaType}",)
@Value("${sltg.captchaType}"),PARAM_END
private ,String
private String, 
private String ,captchaType
private String captchaType,;
private String captchaType;,PARAM_END
@GetMapping,(
@GetMapping(,"/captchaImage"
@GetMapping("/captchaImage",)
@GetMapping("/captchaImage"),PARAM_END
public ,AjaxResult
public AjaxResult, 
public AjaxResult ,getCode
public AjaxResult getCode,(
public AjaxResult getCode(,)
public AjaxResult getCode(), 
public AjaxResult getCode() ,{
public AjaxResult getCode() {,PARAM_END
String ,uuid
String uuid, 
String uuid ,=
String uuid =, 
String uuid = ,IdUtils
String uuid = IdUtils,.
String uuid = IdUtils.,simpleUUID
String uuid = IdUtils.simpleUUID,(
String uuid = IdUtils.simpleUUID(,)
String uuid = IdUtils.simpleUUID(),;
String uuid = IdUtils.simpleUUID();,PARAM_END
String ,verifyKey
String verifyKey, 
String verifyKey ,=
String verifyKey =, 
String verifyKey = ,Constants
String verifyKey = Constants,.
String verifyKey = Constants.,CAPTCHA_CODE_KEY
String verifyKey = Constants.CAPTCHA_CODE_KEY, 
String verifyKey = Constants.CAPTCHA_CODE_KEY ,+
String verifyKey = Constants.CAPTCHA_CODE_KEY +, 
String verifyKey = Constants.CAPTCHA_CODE_KEY + ,uuid
String verifyKey = Constants.CAPTCHA_CODE_KEY + uuid,;
String verifyKey = Constants.CAPTCHA_CODE_KEY + uuid;,PARAM_END
String ,capStr
String capStr,;
String capStr;,PARAM_END
String ,code
String code,;
String code;,PARAM_END
BufferedImage ,image
BufferedImage image,;
BufferedImage image;,PARAM_END
if ,(
if (,"math"
if ("math",.
if ("math".,equals
if ("math".equals,(
if ("math".equals(,captchaType
if ("math".equals(captchaType,)
if ("math".equals(captchaType),)
if ("math".equals(captchaType)), 
if ("math".equals(captchaType)) ,{
if ("math".equals(captchaType)) {,PARAM_END
String ,capText
String capText, 
String capText ,=
String capText =, 
String capText = ,captchaProducerMath
String capText = captchaProducerMath,.
String capText = captchaProducerMath.,createText
String capText = captchaProducerMath.createText,(
String capText = captchaProducerMath.createText(,)
String capText = captchaProducerMath.createText(),;
String capText = captchaProducerMath.createText();,PARAM_END
capStr ,=
capStr =, 
capStr = ,capText
capStr = capText,.
capStr = capText.,substring
capStr = capText.substring,(
capStr = capText.substring(,0
capStr = capText.substring(0,@COMMA_CHAR_REPLACE
capStr = capText.substring(0@COMMA_CHAR_REPLACE, 
capStr = capText.substring(0@COMMA_CHAR_REPLACE ,capText
capStr = capText.substring(0@COMMA_CHAR_REPLACE capText,.
capStr = capText.substring(0@COMMA_CHAR_REPLACE capText.,lastIndexOf
capStr = capText.substring(0@COMMA_CHAR_REPLACE capText.lastIndexOf,(
capStr = capText.substring(0@COMMA_CHAR_REPLACE capText.lastIndexOf(,"@"
capStr = capText.substring(0@COMMA_CHAR_REPLACE capText.lastIndexOf("@",)
capStr = capText.substring(0@COMMA_CHAR_REPLACE capText.lastIndexOf("@"),)
capStr = capText.substring(0@COMMA_CHAR_REPLACE capText.lastIndexOf("@")),;
capStr = capText.substring(0@COMMA_CHAR_REPLACE capText.lastIndexOf("@"));,PARAM_END
code ,=
code =, 
code = ,capText
code = capText,.
code = capText.,substring
code = capText.substring,(
code = capText.substring(,capText
code = capText.substring(capText,.
code = capText.substring(capText.,lastIndexOf
code = capText.substring(capText.lastIndexOf,(
code = capText.substring(capText.lastIndexOf(,"@"
code = capText.substring(capText.lastIndexOf("@",)
code = capText.substring(capText.lastIndexOf("@"), 
code = capText.substring(capText.lastIndexOf("@") ,+
code = capText.substring(capText.lastIndexOf("@") +, 
code = capText.substring(capText.lastIndexOf("@") + ,1
code = capText.substring(capText.lastIndexOf("@") + 1,)
code = capText.substring(capText.lastIndexOf("@") + 1),;
code = capText.substring(capText.lastIndexOf("@") + 1);,PARAM_END
image ,=
image =, 
image = ,captchaProducerMath
image = captchaProducerMath,.
image = captchaProducerMath.,createImage
image = captchaProducerMath.createImage,(
image = captchaProducerMath.createImage(,capStr
image = captchaProducerMath.createImage(capStr,)
image = captchaProducerMath.createImage(capStr),;
image = captchaProducerMath.createImage(capStr);,PARAM_END
} ,else
} else, 
} else ,if
} else if, 
} else if ,(
} else if (,"char"
} else if ("char",.
} else if ("char".,equals
} else if ("char".equals,(
} else if ("char".equals(,captchaType
} else if ("char".equals(captchaType,)
} else if ("char".equals(captchaType),)
} else if ("char".equals(captchaType)), 
} else if ("char".equals(captchaType)) ,{
} else if ("char".equals(captchaType)) {,PARAM_END
capStr ,=
capStr =, 
capStr = ,code
capStr = code, 
capStr = code ,=
capStr = code =, 
capStr = code = ,captchaProducer
capStr = code = captchaProducer,.
capStr = code = captchaProducer.,createText
capStr = code = captchaProducer.createText,(
capStr = code = captchaProducer.createText(,)
capStr = code = captchaProducer.createText(),;
capStr = code = captchaProducer.createText();,PARAM_END
image ,=
image =, 
image = ,captchaProducer
image = captchaProducer,.
image = captchaProducer.,createImage
image = captchaProducer.createImage,(
image = captchaProducer.createImage(,capStr
image = captchaProducer.createImage(capStr,)
image = captchaProducer.createImage(capStr),;
image = captchaProducer.createImage(capStr);,PARAM_END
} ,else
} else, 
} else ,{
} else {,PARAM_END
return ,AjaxResult
return AjaxResult,.
return AjaxResult.,error
return AjaxResult.error,(
return AjaxResult.error(,"验证码不存在！"
return AjaxResult.error("验证码不存在！",)
return AjaxResult.error("验证码不存在！"),;
return AjaxResult.error("验证码不存在！");,PARAM_END
redisCache.,setCacheObject
redisCache.setCacheObject,(
redisCache.setCacheObject(,verifyKey
redisCache.setCacheObject(verifyKey,@COMMA_CHAR_REPLACE
redisCache.setCacheObject(verifyKey@COMMA_CHAR_REPLACE, 
redisCache.setCacheObject(verifyKey@COMMA_CHAR_REPLACE ,code
redisCache.setCacheObject(verifyKey@COMMA_CHAR_REPLACE code,@COMMA_CHAR_REPLACE
redisCache.setCacheObject(verifyKey@COMMA_CHAR_REPLACE code@COMMA_CHAR_REPLACE, 
redisCache.setCacheObject(verifyKey@COMMA_CHAR_REPLACE code@COMMA_CHAR_REPLACE ,Constants
redisCache.setCacheObject(verifyKey@COMMA_CHAR_REPLACE code@COMMA_CHAR_REPLACE Constants,.
redisCache.setCacheObject(verifyKey@COMMA_CHAR_REPLACE code@COMMA_CHAR_REPLACE Constants.,CAPTCHA_EXPIRATION
redisCache.setCacheObject(verifyKey@COMMA_CHAR_REPLACE code@COMMA_CHAR_REPLACE Constants.CAPTCHA_EXPIRATION,@COMMA_CHAR_REPLACE
redisCache.setCacheObject(verifyKey@COMMA_CHAR_REPLACE code@COMMA_CHAR_REPLACE Constants.CAPTCHA_EXPIRATION@COMMA_CHAR_REPLACE, 
redisCache.setCacheObject(verifyKey@COMMA_CHAR_REPLACE code@COMMA_CHAR_REPLACE Constants.CAPTCHA_EXPIRATION@COMMA_CHAR_REPLACE ,TimeUnit
redisCache.setCacheObject(verifyKey@COMMA_CHAR_REPLACE code@COMMA_CHAR_REPLACE Constants.CAPTCHA_EXPIRATION@COMMA_CHAR_REPLACE TimeUnit,.
redisCache.setCacheObject(verifyKey@COMMA_CHAR_REPLACE code@COMMA_CHAR_REPLACE Constants.CAPTCHA_EXPIRATION@COMMA_CHAR_REPLACE TimeUnit.,MINUTES
redisCache.setCacheObject(verifyKey@COMMA_CHAR_REPLACE code@COMMA_CHAR_REPLACE Constants.CAPTCHA_EXPIRATION@COMMA_CHAR_REPLACE TimeUnit.MINUTES,)
redisCache.setCacheObject(verifyKey@COMMA_CHAR_REPLACE code@COMMA_CHAR_REPLACE Constants.CAPTCHA_EXPIRATION@COMMA_CHAR_REPLACE TimeUnit.MINUTES),;
redisCache.setCacheObject(verifyKey@COMMA_CHAR_REPLACE code@COMMA_CHAR_REPLACE Constants.CAPTCHA_EXPIRATION@COMMA_CHAR_REPLACE TimeUnit.MINUTES);,PARAM_END
FastByteArrayOutputStream ,os
FastByteArrayOutputStream os, 
FastByteArrayOutputStream os ,=
FastByteArrayOutputStream os =, 
FastByteArrayOutputStream os = ,new
FastByteArrayOutputStream os = new, 
FastByteArrayOutputStream os = new ,FastByteArrayOutputStream
FastByteArrayOutputStream os = new FastByteArrayOutputStream,(
FastByteArrayOutputStream os = new FastByteArrayOutputStream(,)
FastByteArrayOutputStream os = new FastByteArrayOutputStream(),;
FastByteArrayOutputStream os = new FastByteArrayOutputStream();,PARAM_END
try ,{
try {,PARAM_END
ImageIO.,write
ImageIO.write,(
ImageIO.write(,image
ImageIO.write(image,@COMMA_CHAR_REPLACE
ImageIO.write(image@COMMA_CHAR_REPLACE, 
ImageIO.write(image@COMMA_CHAR_REPLACE ,"jpg"
ImageIO.write(image@COMMA_CHAR_REPLACE "jpg",@COMMA_CHAR_REPLACE
ImageIO.write(image@COMMA_CHAR_REPLACE "jpg"@COMMA_CHAR_REPLACE, 
ImageIO.write(image@COMMA_CHAR_REPLACE "jpg"@COMMA_CHAR_REPLACE ,os
ImageIO.write(image@COMMA_CHAR_REPLACE "jpg"@COMMA_CHAR_REPLACE os,)
ImageIO.write(image@COMMA_CHAR_REPLACE "jpg"@COMMA_CHAR_REPLACE os),;
ImageIO.write(image@COMMA_CHAR_REPLACE "jpg"@COMMA_CHAR_REPLACE os);,PARAM_END
} ,catch
} catch, 
} catch ,(
} catch (,IOException
} catch (IOException, 
} catch (IOException ,e
} catch (IOException e,)
} catch (IOException e), 
} catch (IOException e) ,{
} catch (IOException e) {,PARAM_END
return ,AjaxResult
return AjaxResult,.
return AjaxResult.,error
return AjaxResult.error,(
return AjaxResult.error(,e
return AjaxResult.error(e,.
return AjaxResult.error(e.,getMessage
return AjaxResult.error(e.getMessage,(
return AjaxResult.error(e.getMessage(,)
return AjaxResult.error(e.getMessage(),)
return AjaxResult.error(e.getMessage()),;
return AjaxResult.error(e.getMessage());,PARAM_END
AjaxResult ,ajax
AjaxResult ajax, 
AjaxResult ajax ,=
AjaxResult ajax =, 
AjaxResult ajax = ,AjaxResult
AjaxResult ajax = AjaxResult,.
AjaxResult ajax = AjaxResult.,success
AjaxResult ajax = AjaxResult.success,(
AjaxResult ajax = AjaxResult.success(,)
AjaxResult ajax = AjaxResult.success(),;
AjaxResult ajax = AjaxResult.success();,PARAM_END
ajax.,put
ajax.put,(
ajax.put(,"uuid"
ajax.put("uuid",@COMMA_CHAR_REPLACE
ajax.put("uuid"@COMMA_CHAR_REPLACE, 
ajax.put("uuid"@COMMA_CHAR_REPLACE ,uuid
ajax.put("uuid"@COMMA_CHAR_REPLACE uuid,)
ajax.put("uuid"@COMMA_CHAR_REPLACE uuid),;
ajax.put("uuid"@COMMA_CHAR_REPLACE uuid);,PARAM_END
ajax.,put
ajax.put,(
ajax.put(,"img"
ajax.put("img",@COMMA_CHAR_REPLACE
ajax.put("img"@COMMA_CHAR_REPLACE, 
ajax.put("img"@COMMA_CHAR_REPLACE ,Base64
ajax.put("img"@COMMA_CHAR_REPLACE Base64,.
ajax.put("img"@COMMA_CHAR_REPLACE Base64.,encode
ajax.put("img"@COMMA_CHAR_REPLACE Base64.encode,(
ajax.put("img"@COMMA_CHAR_REPLACE Base64.encode(,os
ajax.put("img"@COMMA_CHAR_REPLACE Base64.encode(os,.
ajax.put("img"@COMMA_CHAR_REPLACE Base64.encode(os.,toByteArray
ajax.put("img"@COMMA_CHAR_REPLACE Base64.encode(os.toByteArray,(
ajax.put("img"@COMMA_CHAR_REPLACE Base64.encode(os.toByteArray(,)
ajax.put("img"@COMMA_CHAR_REPLACE Base64.encode(os.toByteArray(),)
ajax.put("img"@COMMA_CHAR_REPLACE Base64.encode(os.toByteArray()),)
ajax.put("img"@COMMA_CHAR_REPLACE Base64.encode(os.toByteArray())),;
ajax.put("img"@COMMA_CHAR_REPLACE Base64.encode(os.toByteArray()));,PARAM_END
return ,ajax
return ajax,;
return ajax;,PARAM_END
import javax.,servlet
import javax.servlet,.
import javax.servlet.,http
import javax.servlet.http,.
import javax.servlet.http.,HttpServletRequest
import javax.servlet.http.HttpServletRequest,;
import javax.servlet.http.HttpServletRequest;,PARAM_END
import javax.,servlet
import javax.servlet,.
import javax.servlet.,http
import javax.servlet.http,.
import javax.servlet.http.,HttpServletResponse
import javax.servlet.http.HttpServletResponse,;
import javax.servlet.http.HttpServletResponse;,PARAM_END
import org.,slf4j
import org.slf4j,.
import org.slf4j.,Logger
import org.slf4j.Logger,;
import org.slf4j.Logger;,PARAM_END
import org.,slf4j
import org.slf4j,.
import org.slf4j.,LoggerFactory
import org.slf4j.LoggerFactory,;
import org.slf4j.LoggerFactory;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,beans
import org.springframework.beans,.
import org.springframework.beans.,factory
import org.springframework.beans.factory,.
import org.springframework.beans.factory.,annotation
import org.springframework.beans.factory.annotation,.
import org.springframework.beans.factory.annotation.,Autowired
import org.springframework.beans.factory.annotation.Autowired,;
import org.springframework.beans.factory.annotation.Autowired;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,http
import org.springframework.http,.
import org.springframework.http.,MediaType
import org.springframework.http.MediaType,;
import org.springframework.http.MediaType;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,GetMapping
import org.springframework.web.bind.annotation.GetMapping,;
import org.springframework.web.bind.annotation.GetMapping;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,PostMapping
import org.springframework.web.bind.annotation.PostMapping,;
import org.springframework.web.bind.annotation.PostMapping;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,RestController
